# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1180423,2038,-1075,8889,142,-102,-92,208
1180433,2238,-243,8590,-140,2,-52,209
1180443,1993,-344,8971,-226,6,-45,210
1180453,1851,-716,8564,-92,-40,-74,211
1180463,1653,100,8724,-173,-185,-62,212
1180473,1684,-336,8946,-224,-165,-70,213
1180483,1557,-437,8758,-218,-60,-65,214
1180493,1873,21,7715,-415,12,-38,215
1180503,1827,-228,8389,-316,-74,-60,216
1180513,1654,70,8377,-348,-81,-55,217
1180523,1921,-140,7995,-416,-31,-51,218
1180533,1859,-448,8213,-330,-126,-60,219
1180543,2090,150,8759,-417,-188,-31,220
1180553,1468,-362,8502,-398,50,-28,221
1180563,1728,63,8058,-497,159,-8,222
1180573,1596,-141,7987,-436,64,-19,223
1180583,1500,-42,8163,-248,9,-48,224
1180593,1422,228,8479,-307,-16,-24,225
1180603,1692,0,7719,-306,141,-19,226
1180613,1173,631,7691,-284,86,-10,227
1180623,1159,547,8730,-79,-106,-55,228
1180633,1967,375,8119,30,81,-85,229
1180643,1937,1178,7899,-30,186,-63,230
1180653,2109,738,7667,-58,344,-46,231
1180663,1301,363,8287,138,222,-57,232
1180673,1015,1070,8789,231,-51,-63,233
1180683,1591,475,7800,272,45,-95,234
1180693,1928,379,8067,149,184,-88,235
1180703,1928,379,8067,149,184,-88,236
1180713,1540,1314,7885,-34,433,-77,237
1180723,1658,847,7611,93,406,-96,238
1180733,1271,501,8236,358,134,-134,239
1180743,1627,1583,7694,233,122,-124,240
1180753,1667,11,8266,282,165,-151,241
1180763,1663,1538,8657,328,335,-168,242
1180773,1616,1011,7193,55,467,-115,243
1180783,1684,-52,8463,591,199,-185,244
1180793,1732,1635,8686,280,159,-120,245
1180803,1705,-622,8011,381,286,-139,246
1180813,2062,785,8116,451,382,-156,247
1180823,1458,176,8669,-28,287,-64,248
1180833,1530,-462,8727,582,282,-163,249
1180843,1809,951,8169,135,227,-89,250
1180853,2123,-878,8186,172,334,-96,251
1180863,1888,256,8277,281,412,-110,252
1180873,1566,-199,8379,-39,276,-50,253
1180883,1995,-701,8688,452,214,-123,254
1180893,1769,48,8861,134,96,-73,255
1180903,1715,-1040,8597,225,256,-96,0
